V	J	I	P1	P2	I_srh	I_rad	I_aug	FCA
0.85	0.0450452117328699	0.00022522605866435	1.4044742300274e-10	1.42580778963091e-13	9.17590922255051e-05	1.85967316477694e-06	1.70577747522174e-10	0.145648472131478
0.9	0.090366700554559	0.000451833502772795	2.29054266388066e-09	2.3253353481461e-12	0.000294088691429065	3.03540043000155e-05	1.55228137697999e-08	0.151173467447101
0.95	0.27796999733792	0.0013898499866896	1.93869983227161e-08	1.96814812512087e-11	0.000953088977644391	0.00025746917975157	3.52675764379299e-07	0.161657283380153
1	0.998061172418972	0.00499030586209486	1.33175160294472e-07	1.3519805267591e-10	0.0030108592626681	0.00177568451879048	5.44088397495759e-06	0.180648579869729
1.05	3.74456908145953	0.0187228454072977	7.42389808276364e-07	7.53666495940185e-10	0.00848818933369253	0.00996876553826004	6.3312244372061e-05	0.214371727136852
1.1	12.3648709300665	0.0618243546503324	3.03088430037166e-06	3.07692256116059e-09	0.0199415023781132	0.041159278610763	0.000489933627774138	0.268403027829415
1.15	34.4595534303021	0.172297767151511	9.34868933819468e-06	9.49069324040028e-09	0.0403583040628425	0.129089934115244	0.00260412973980801	0.349060890188393
1.2	89.5659872303054	0.447829936151527	2.52482940638743e-05	2.56318083888671e-08	0.077877813255236	0.357991666582597	0.0117149241214328	0.478591311199533
1.25	228.415131334581	1.14207565667291	0.0258825665686822	2.69073822201607e-05	0.150877386458096	0.918369854834882	0.0473007912152149	0.700340460919843
1.3	620.81587156458	3.1040793578229	1.88476344147517	0.00191416401964758	0.18098814344628	0.945213402079769	0.049881435934873	0.742815440936295
1.35	1287.43560592752	6.43717802963761	4.93620053310404	0.0050120019341017	0.231189378105609	0.980980215166321	0.0526552358387057	0.811611904201067
1.4	2362.8580735598	11.814290367799	9.63883573252237	0.00978610491010421	0.311029306906496	1.0448146538965	0.0560352661735101	0.920480557823249
1.45	4018.99584779822	20.0949792389911	16.4038385761107	0.0166539013487633	0.431921571856248	1.17102209321938	0.0604987646023476	1.08481165975488
1.5	6453.3504428417	32.2667522142085	25.4213507463198	0.0258084275469386	0.606098507411022	1.42320221512756	0.0669458839667514	1.32093262542626
1.55	9861.68787549549	49.3084393774774	36.4706759235665	0.0370256401379032	0.844156956373065	1.90574473526308	0.0775540579761558	1.64337266382649
1.6	14403.0839077761	72.0154195388807	48.8705980547868	0.0496139803946211	1.15229273073626	2.76467629267456	0.0968340199830033	2.06151837775849
1.65	20172.4666010615	100.862333005308	61.6571904992472	0.0625948842351044	1.53079464680792	4.1731432808146	0.132597422995121	2.57764409748921
1.7	27188.6141990532	135.943070995266	73.890797915441	0.0750144262113625	1.9744755386825	6.30504541246571	0.196470290446702	3.18705506700846
1.75	35408.0591729756	177.040295864878	84.9137521541391	0.0862049505343006	2.47525072949108	9.31316781106378	0.303854608850026	3.88132446832847
1.8	44765.1002356137	223.825501178069	94.4266245337917	0.0958624846605927	3.02602350428612	13.3294884853355	0.473952060659208	4.65405289596814
1.85	55178.499980946	275.89249990473	102.412275162998	0.103969631766828	3.62183283683717	18.4720858719666	0.73036232026354	5.50319441663271
1.9	66600.8477704856	333.004238852428	109.017792258425	0.110675721958717	4.26535700340648	24.9096361291192	1.10669137528721	6.44225015967503
1.95	79059.1424573316	395.295712286658	114.443029324969	0.116183656239262	4.97935983773615	33.0587849892487	1.67092625836686	7.52991924771608
2	92962.0849060721	464.81042453036	118.824490043517	0.120632020631813	5.89118673497359	44.9614928245356	2.69420452710907	9.06446014106617
2.05	108511.743838884	542.55871919442	122.449955826336	0.12431287068481	7.03776915115723	62.4251363456366	4.41453231107834	11.1306145162849
2.1	126303.250771865	631.516253859323	125.349079595154	0.127256602597873	8.5028563690919	86.5465216489632	7.06809833092394	13.9322869556474
2.15	199377.999450852	996.88999725426	0.000263775990214157	2.66440899078614e-06	34.7140283730901	739.615244428273	104.647815037349	74.9239983863195
2.2	226536.31725906	1132.6815862953	0.000242314291861311	2.44762510865482e-06	36.3719059407934	805.860969919043	116.471638781318	78.22881215206
2.25	257659.846578774	1288.29923289387	0.000225656011154836	2.27935823786009e-06	37.9883212229645	872.602105596567	128.748106338196	81.4102012352079
