V	J	I	P1	P2	I_srh	I_rad	I_aug
0.75	1.444127082643	0.004332381247929	6.78325991415582e-13	6.88629568127127e-16	1.86158372631072e-06	8.87878662967507e-09	1.23770151341335e-13
0.8	1.37432636070723	0.00412297908212169	4.86000059215686e-12	4.93382260333314e-15	1.10128500447506e-05	6.3612646471386e-08	1.20764936741225e-12
0.85	1.03118841273055	0.00309356523819166	8.53124264651318e-11	8.66082976858368e-14	5.50551398924746e-05	1.11578674386272e-06	1.02343978262925e-10
0.9	1.50455615621782	0.00451366846865347	1.39198513037197e-09	1.4131289841438e-12	0.000176451919789706	1.82121390106382e-05	9.31348525258272e-09
0.95	1.8310713041167	0.00549321391235009	1.17918213261319e-08	1.19709357005481e-11	0.000571848693153945	0.000154479342100856	2.11601231713768e-07
1	2.64156197888304	0.00792468593664912	8.11274541077038e-08	8.23597568019683e-11	0.00180650089096577	0.0010653963299927	3.26446803605905e-06
1.05	5.47677494298297	0.0164303248289489	4.53485569913119e-07	4.6037388528996e-10	0.00509287633386245	0.00598118631777107	3.798668216708e-05
1.1	14.2820809646176	0.0428462428938528	1.85940859094282e-06	1.8876524726418e-09	0.0119648237794347	0.0246953032234693	0.00029395560786395
1.15	36.477809358275	0.109433428074825	5.77154787422805e-06	5.85921602644254e-09	0.0242148374497868	0.0774532215804199	0.00156245594096987
1.2	91.5837213067843	0.274751163920353	1.57405649558168e-05	1.59796596102422e-08	0.0467264114703426	0.21479309053218	0.00702886203647881
1.25	228.834085176205	0.686502255528615	0.000112932656621868	1.14648071194607e-07	0.0914092441268479	0.560057535402156	0.0290744233331564
1.3	634.322920466116	1.90296876139835	1.02259074186868	0.00103812360112323	0.128587812967774	0.754052515758477	0.0449576998115279
1.35	1,396.17326963048	4.18851980889143	3.34857764444532	0.00339944157575673	0.162256071620468	0.769699593264861	0.0454757423355449
1.4	2,620.23757645676	7.86071272937028	6.99072410107099	0.00709691118951547	0.216009084034541	0.806162378023837	0.0463571073938331
1.45	4,484.78316094096	13.4543494828229	12.3255285514558	0.0125127497851214	0.296872026635851	0.887510065674147	0.0478800400082567
1.5	7,190.26319652718	21.5707895895815	19.6505762668214	0.0199490628684755	0.41216328668485	1.05764713703886	0.0506612732750308
1.55	10,929.9340040735	32.7898020122204	29.0596030665499	0.0295010100790962	0.567768989937216	1.38589162318873	0.0560547275078508
1.6	15,852.846988089	47.5585409642671	40.3625264208351	0.0409756215882206	0.766383286461053	1.96505256300027	0.0667282367768727
1.65	22,036.5811772422	66.1097435317267	53.1156733787797	0.0539224851804351	1.00677908448564	2.8996144171103	0.087197667891539
1.7	29,483.4564480096	88.4503693440288	66.7496117274232	0.0677635191312426	1.28457554405624	4.28886648159898	0.123998220296964
1.75	38,137.9901749897	114.413970524969	80.7143723682336	0.0819404004696849	1.59379622316866	6.21343527148154	0.185368347820989
1.8	47,911.4940039969	143.734482011991	94.5702306992209	0.0960067253035401	1.92822135283619	8.72957807672197	0.280612059155631
1.85	58,702.3846437617	176.107153931285	108.011710725327	0.109652377545245	2.28214499248873	11.8698307373688	0.419396506588703
1.9	70,409.6474655038	211.228942396511	120.851240754445	0.122686936342639	2.65068172613476	15.6468509599168	0.611158103235186
1.95	82,941.8294821074	248.825488446322	132.989643849429	0.135009718289426	3.02985838172237	20.058350265933	0.864692995893819
2	96,223.7964993476	288.671389498043	144.387742414776	0.146580950693694	3.41660254112416	25.091967405375	1.18793845274992
2.05	110,202.037857611	330.606113572832	155.043396269575	0.1573984608658	3.80866675387068	30.7294044586494	1.58790527571197
